Period Name,Prescriber Code,Prescriber Name,BNF Code,BNF Name,Total Items,Total Act Cost,Total Nic
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1310,Anti-Infective Skin Preparations,"6,510","£30,223.08","£32,693.67"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",501,Antibacterial Drugs,"68,396","£318,450.93","£343,327.35"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",208,Anticoagulants And Protamine,"14,779","£87,460.54","£94,289.95"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",403,Antidepressant Drugs,"84,824","£321,565.24","£345,774.42"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",408,Antiepileptics,"29,076","£819,873.06","£887,343.48"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",211,Antifibrinolytic Drugs & Haemostatics,479,"£4,252.81","£4,592.46"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",502,Antifungal Drugs,"3,107","£33,933.54","£36,745.01"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",304,"Antihist, Hyposensit & Allergic Emergen","15,560","£47,789.93","£51,069.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1312,Antiperspirants,102,£352.36,£380.81
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",209,Antiplatelet Drugs,"58,834","£109,275.42","£117,321.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",504,Antiprotozoal Drugs,"5,694","£13,835.76","£14,894.09"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",103,Antisecretory Drugs+Mucosal Protectants,"86,956","£313,988.00","£338,889.86"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",102,Antispasmod.&Other Drgs Alt.Gut Motility,"8,603","£69,866.24","£75,120.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",503,Antiviral Drugs,"1,058","£16,680.56","£18,055.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2002,Arm Sling/Bandages,"1,387","£25,101.37","£27,211.12"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",308,Aromatic Inhalations,11,£11.29,£12.10
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2140,Bacterial Decolonisation Products,2,£6.59,£7.12
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2320,Bag Closures,16,£328.33,£356.09
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2325,Bag Covers,10,£253.25,£274.67
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1907,Base/Dil/Susp Agents/Stabilisers,669,"£17,116.07","£18,545.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2330,Belts,120,"£2,892.14","£3,014.64"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",204,Beta-Adrenoceptor Blocking Drugs,"55,599","£130,471.46","£140,502.94"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",301,Bronchodilators,"56,546","£504,852.92","£546,729.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",404,CNS Stimulants and drugs used for ADHD,"1,896","£71,089.25","£77,008.60"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2113,Catheter Maintenance Solutions,81,"£4,026.42","£4,366.21"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2205,Catheter Valves,160,"£2,738.86","£2,826.05"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2102,Catheters,"1,438","£124,351.89","£134,868.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2103,Chiropody Appliances,7,£34.36,£37.16
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",105,Chronic Bowel Disorders,"3,886","£153,880.31","£166,628.59"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2335,Colostomy Bags,828,"£145,091.61","£157,316.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",910,Compound Vit/Mineral Formulations,163,"£1,533.29","£1,653.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2104,Contraceptive Devices,35,£394.86,£428.16
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",703,Contraceptives,"12,245","£107,157.28","£115,940.47"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1104,Corti'roids & Other Anti-Inflamm.Preps.,"2,277","£8,974.35","£9,701.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",603,Corticosteroids (Endocrine),"11,457","£89,795.68","£96,508.58"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",302,Corticosteroids (Respiratory),"36,058","£1,215,742.37","£1,318,176.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",309,Cough Preparations,"3,860","£4,257.71","£4,346.53"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",303,"Cromoglycate,Rel,Leukotriene Antagonists","3,266","£97,595.90","£105,805.45"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",801,Cytotoxic Drugs,167,"£10,941.15","£11,829.60"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2345,Deodorants,235,"£2,038.50","£2,101.83"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2346,Discharge Solidifying Agents,50,"£1,364.26","£1,479.70"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",202,Diuretics,"48,960","£82,724.13","£88,775.73"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1201,Drugs Acting On The Ear,"3,181","£10,547.77","£11,397.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1202,Drugs Acting On The Nose,"10,796","£79,883.15","£86,494.57"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1203,Drugs Acting On The Oropharynx,"3,273","£15,612.91","£16,887.13"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",606,Drugs Affecting Bone Metabolism,"10,893","£36,350.28","£39,274.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",109,Drugs Affecting Intestinal Secretions,866,"£47,186.01","£51,125.54"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",802,Drugs Affecting The Immune Response,"2,286","£116,341.96","£126,062.44"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",704,Drugs For Genito-Urinary Disorders,"21,365","£438,472.94","£474,621.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",601,Drugs Used In Diabetes,"60,144","£1,108,700.07","£1,201,168.85"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",406,Drugs Used In Nausea And Vertigo,"13,534","£91,902.82","£98,989.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1002,Drugs Used In Neuromuscular  Disorders,"1,607","£19,881.60","£21,459.59"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",409,Drugs Used In Park'ism/Related Disorders,"5,679","£176,967.52","£191,543.82"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",402,Drugs Used In Psychoses & Rel.Disorders,"15,294","£298,416.79","£321,901.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1001,Drugs Used In Rheumatic Diseases & Gout,"42,853","£222,802.20","£240,084.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",410,Drugs Used In Substance Dependence,"9,527","£155,969.01","£168,151.65"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",411,Drugs for Dementia,"3,386","£127,038.71","£137,705.74"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",405,Drugs used in the Treatment of Obesity,"1,838","£56,904.05","£61,690.23"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2121,Dry Mouth Products,91,£526.49,£569.84
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",101,Dyspep&Gastro-Oesophageal Reflux Disease,"10,726","£75,429.33","£81,432.04"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2107,Elastic Hosiery,643,"£9,332.18","£10,112.20"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1302,Emollient & Barrier Preparations,"26,089","£143,962.80","£155,732.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2122,Emollients,"1,774","£10,842.81","£11,736.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2130,Eye Products,794,"£6,443.29","£6,977.27"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2215,Faecal Collectors,1,£80.13,£86.94
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2350,Filters/Bridges,3,£51.26,£55.59
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2355,Flanges,1,£231.34,£250.90
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",902,Fluids And Electrolytes,"2,708","£18,031.36","£19,375.18"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",909,Foods,545,"£24,988.05","£27,095.48"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2004,Gauzes & Gauze Tissue,147,"£4,881.56","£5,293.16"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1501,General Anaesthesia,286,"£3,029.07","£3,274.12"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",911,Health Supplements,171,"£4,064.16","£4,220.29"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",205,Hypertension and Heart Failure,"105,090","£377,678.72","£407,813.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",401,Hypnotics And Anxiolytics,"33,272","£151,106.12","£161,840.41"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",605,Hypothalamic&Pituitary Hormones&Antioest,708,"£64,405.87","£69,827.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2360,Ileostomy Bags,920,"£104,851.95","£113,672.68"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2240,Incontinence Sheath Fixing Strips & Adh,14,£211.58,£229.47
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2230,Incontinence Sheaths,267,"£16,365.01","£16,866.25"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2132,Inhalation Solutions,89,"£2,307.85","£2,499.94"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2285,Insert For Female Stress Incont,1,£39.87,£43.23
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2116,Irrigation Solutions,"2,294","£10,343.36","£11,093.81"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2370,Irrigation Washout Appliances,27,"£1,988.78","£2,157.00"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",106,Laxatives,"23,649","£123,805.92","£133,049.77"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2250,Leg Bags,745,"£26,434.15","£28,015.71"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2007,Lints,3,£175.72,£190.63
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",212,Lipid-Regulating Drugs,"111,734","£477,549.93","£516,082.85"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1502,Local Anaesthesia,"1,335","£14,895.41","£16,128.66"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1107,Local Anaesthetics,1,£19.02,£20.62
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",107,Local Prepn for Anal & Rectal Disorders,"2,609","£16,880.93","£18,254.71"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2138,Low Friction Products,6,£301.35,£326.82
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2114,Lubricant Gels,234,£686.81,£743.44
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2127,Lymphoedema Garments,505,"£27,227.60","£29,528.27"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",905,Minerals,"1,227","£36,910.90","£39,917.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1108,Miscellaneous Ophthalmic Preparations,"11,678","£40,542.63","£43,805.44"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",307,Mucolytics,"2,679","£60,476.50","£65,411.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1105,Mydriatics And Cycloplegics,170,"£1,804.89","£1,955.13"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2124,Nasal Products,"1,373","£3,090.15","£3,333.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2260,Night Drainage Bags,"1,247","£18,801.49","£18,716.82"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",206,"Nit,Calc Block & Other Antianginal Drugs","74,173","£389,255.61","£420,584.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2119,Oral Film Forming Agents,11,£308.77,£334.80
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",904,Oral Nutrition,"17,951","£512,703.53","£552,761.65"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2101,Other Appliances,"12,600","£94,783.22","£102,617.22"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",607,Other Endocrine Drugs,92,"£4,040.83","£4,379.17"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",912,Other Health Supplements,268,"£9,227.85","£9,902.92"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1905,Other Preparations,27,£129.26,£139.73
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2112,Peak Flow Meters,259,"£1,531.38","£1,657.54"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2137,Pelvic Toning Devices,1,£13.84,£15.00
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2141,Physical Debridement Device,26,"£1,626.84","£1,764.15"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2129,Plantar Pressure Offloading Device,19,£508.72,£551.68
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",201,Positive Inotropic Drugs,"4,521","£5,905.64","£6,314.19"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1305,Preparations For Eczema And Psoriasis,"2,816","£108,947.26","£118,123.09"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1307,Preparations For Warts And Calluses,635,"£4,156.99","£4,499.24"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2375,Pressure Plates/Shields,6,£43.35,£47.02
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1902,Selective Preparations,"1,676","£40,103.48","£43,185.16"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",604,Sex Hormones,"7,487","£102,475.43","£110,922.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",803,Sex Hormones & Antag In Malig Disease,"3,655","£177,465.32","£192,378.95"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1309,Shampoo&Other Preps For Scalp&Hair Cond,"2,644","£14,178.63","£15,343.42"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2020,Silk Garments,6,£517.06,£560.64
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1904,Single Substances,11,£79.17,£85.63
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1311,"Skin Cleansers,Antiseptics & Desloughing",358,"£3,652.71","£3,878.47"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2014,"Skin Closure Strips, Sterile",2,£9.83,£10.65
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2380,Skin Fillers And Protectives,"1,402","£19,021.53","£19,994.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2385,Skin Protectors,202,"£13,051.28","£14,155.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1003,Soft-Tissue Disorders & Topical Pain Rel,"12,435","£70,544.46","£76,305.83"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2009,Stockinette,"1,725","£21,754.05","£23,575.34"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2390,Stoma Caps/Dressings,69,"£3,301.80","£3,581.17"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1308,Sunscreens And Camouflagers,517,"£14,616.52","£15,726.84"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2010,Surgical Adhesive Tape,910,"£2,017.73","£2,179.34"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2011,Surgical Sutures,26,£40.12,£43.52
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2270,Suspensory Systems,12,£852.00,£924.00
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2012,Swabs,"1,241","£3,722.57","£4,030.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",207,Sympathomimetics,81,"£11,112.96","£12,049.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",310,Systemic Nasal Decongestants,607,"£1,101.25","£1,147.79"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",602,Thyroid And Antithyroid Drugs,"42,013","£143,245.07","£154,517.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1303,Top Local Anaesthetics & Antipruritics,450,"£1,542.68","£1,663.61"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1314,Topical Circulatory Preparations,244,"£1,180.18","£1,276.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1304,Topical Corticosteroids,"19,084","£80,168.10","£86,697.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2005,Tracheostomy & Laryngectomy Appliances,134,"£7,487.88","£8,120.18"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1106,Treatment Of Glaucoma,"9,244","£88,041.17","£95,363.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",702,Treatment Of Vaginal & Vulval Conditions,"2,351","£17,315.06","£18,727.88"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2106,Trusses,12,£324.49,£351.78
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2392,Tubing & Accessories,12,£461.35,£500.22
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2280,Tubing And Accessories,218,"£2,510.41","£2,665.72"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2394,Two Piece Ostomy Systems,405,"£32,627.22","£35,388.74"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2290,Urinal Systems,36,"£1,862.58","£2,020.43"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2396,Urostomy Bags,232,"£30,020.62","£32,452.26"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1404,Vaccines And Antisera,"59,290","£380,317.03","£412,468.91"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2118,Vacuum Pumps for Erectile Dysfunction,20,"£1,750.73","£1,898.78"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2123,Vaginal Moisturisers,228,"£1,829.47","£1,981.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2134,Vaginal PH Correction Products,6,£48.48,£52.50
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1301,Vehicles and Emulsifying Agents,13,£74.87,£81.02
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2120,Venous Ulcer Compression System,46,"£1,371.03","£1,486.51"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",906,Vitamins,"28,648","£144,270.54","£154,914.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1914,Waters,3,£6.27,£6.55
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2003,Wound Management & other Dressings,"10,488","£269,186.00","£291,860.81"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1313,Wound Management Products,5,£144.14,£156.28
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2001,Absorbent Cottons,15,£82.81,£89.61
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1906,Acids,23,£73.42,£78.24
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2135,Acne Treatment,1,£23.99,£26.00
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1306,Acne and Rosacea,"1,756","£19,742.01","£21,388.47"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,104,Acute Diarrhoea,"1,224","£3,649.76","£3,893.63"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2305,Adhesive Discs/Rings/Pads/Plasters,61,"£2,540.29","£2,715.03"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2136,Adhesive Dressing Remover Ster Silicone,4,£64.84,£70.30
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2315,Adhesive Removers (Sprays/Liquids/Wipes),287,"£7,353.36","£7,975.27"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,901,Anaemias + Other Blood Disorders,"21,589","£49,479.27","£51,577.03"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2128,Anal Irrigation System,25,"£2,949.03","£3,198.72"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2202,Anal Plugs,12,"£1,243.78","£1,348.85"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,407,Analgesics,"47,959","£268,495.55","£288,788.48"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,505,Anthelmintics,193,£487.15,£523.17
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,203,Anti-Arrhythmic Drugs,391,"£2,491.51","£2,674.38"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1103,Anti-Infective Eye Preparations,"2,247","£4,589.14","£4,947.45"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1310,Anti-Infective Skin Preparations,"3,881","£16,000.62","£17,302.52"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,501,Antibacterial Drugs,"37,851","£141,505.81","£152,548.25"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,208,Anticoagulants And Protamine,"7,422","£34,454.89","£37,126.71"
