Period Name,Prescriber Code,Prescriber Name,BNF Code,BNF Name,Total Items,Total Act Cost,Total Nic
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1310,Anti-Infective Skin Preparations,"6,510","œ30,223.08","œ32,693.67"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",501,Antibacterial Drugs,"68,396","œ318,450.93","œ343,327.35"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",208,Anticoagulants And Protamine,"14,779","œ87,460.54","œ94,289.95"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",403,Antidepressant Drugs,"84,824","œ321,565.24","œ345,774.42"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",408,Antiepileptics,"29,076","œ819,873.06","œ887,343.48"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",211,Antifibrinolytic Drugs & Haemostatics,479,"œ4,252.81","œ4,592.46"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",502,Antifungal Drugs,"3,107","œ33,933.54","œ36,745.01"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",304,"Antihist, Hyposensit & Allergic Emergen","15,560","œ47,789.93","œ51,069.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1312,Antiperspirants,102,œ352.36,œ380.81
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",209,Antiplatelet Drugs,"58,834","œ109,275.42","œ117,321.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",504,Antiprotozoal Drugs,"5,694","œ13,835.76","œ14,894.09"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",103,Antisecretory Drugs+Mucosal Protectants,"86,956","œ313,988.00","œ338,889.86"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",102,Antispasmod.&Other Drgs Alt.Gut Motility,"8,603","œ69,866.24","œ75,120.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",503,Antiviral Drugs,"1,058","œ16,680.56","œ18,055.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2002,Arm Sling/Bandages,"1,387","œ25,101.37","œ27,211.12"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",308,Aromatic Inhalations,11,œ11.29,œ12.10
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2140,Bacterial Decolonisation Products,2,œ6.59,œ7.12
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2320,Bag Closures,16,œ328.33,œ356.09
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2325,Bag Covers,10,œ253.25,œ274.67
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1907,Base/Dil/Susp Agents/Stabilisers,669,"œ17,116.07","œ18,545.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2330,Belts,120,"œ2,892.14","œ3,014.64"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",204,Beta-Adrenoceptor Blocking Drugs,"55,599","œ130,471.46","œ140,502.94"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",301,Bronchodilators,"56,546","œ504,852.92","œ546,729.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",404,CNS Stimulants and drugs used for ADHD,"1,896","œ71,089.25","œ77,008.60"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2113,Catheter Maintenance Solutions,81,"œ4,026.42","œ4,366.21"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2205,Catheter Valves,160,"œ2,738.86","œ2,826.05"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2102,Catheters,"1,438","œ124,351.89","œ134,868.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2103,Chiropody Appliances,7,œ34.36,œ37.16
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",105,Chronic Bowel Disorders,"3,886","œ153,880.31","œ166,628.59"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2335,Colostomy Bags,828,"œ145,091.61","œ157,316.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",910,Compound Vit/Mineral Formulations,163,"œ1,533.29","œ1,653.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2104,Contraceptive Devices,35,œ394.86,œ428.16
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",703,Contraceptives,"12,245","œ107,157.28","œ115,940.47"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1104,Corti'roids & Other Anti-Inflamm.Preps.,"2,277","œ8,974.35","œ9,701.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",603,Corticosteroids (Endocrine),"11,457","œ89,795.68","œ96,508.58"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",302,Corticosteroids (Respiratory),"36,058","œ1,215,742.37","œ1,318,176.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",309,Cough Preparations,"3,860","œ4,257.71","œ4,346.53"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",303,"Cromoglycate,Rel,Leukotriene Antagonists","3,266","œ97,595.90","œ105,805.45"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",801,Cytotoxic Drugs,167,"œ10,941.15","œ11,829.60"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2345,Deodorants,235,"œ2,038.50","œ2,101.83"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2346,Discharge Solidifying Agents,50,"œ1,364.26","œ1,479.70"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",202,Diuretics,"48,960","œ82,724.13","œ88,775.73"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1201,Drugs Acting On The Ear,"3,181","œ10,547.77","œ11,397.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1202,Drugs Acting On The Nose,"10,796","œ79,883.15","œ86,494.57"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1203,Drugs Acting On The Oropharynx,"3,273","œ15,612.91","œ16,887.13"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",606,Drugs Affecting Bone Metabolism,"10,893","œ36,350.28","œ39,274.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",109,Drugs Affecting Intestinal Secretions,866,"œ47,186.01","œ51,125.54"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",802,Drugs Affecting The Immune Response,"2,286","œ116,341.96","œ126,062.44"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",704,Drugs For Genito-Urinary Disorders,"21,365","œ438,472.94","œ474,621.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",601,Drugs Used In Diabetes,"60,144","œ1,108,700.07","œ1,201,168.85"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",406,Drugs Used In Nausea And Vertigo,"13,534","œ91,902.82","œ98,989.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1002,Drugs Used In Neuromuscular  Disorders,"1,607","œ19,881.60","œ21,459.59"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",409,Drugs Used In Park'ism/Related Disorders,"5,679","œ176,967.52","œ191,543.82"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",402,Drugs Used In Psychoses & Rel.Disorders,"15,294","œ298,416.79","œ321,901.14"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1001,Drugs Used In Rheumatic Diseases & Gout,"42,853","œ222,802.20","œ240,084.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",410,Drugs Used In Substance Dependence,"9,527","œ155,969.01","œ168,151.65"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",411,Drugs for Dementia,"3,386","œ127,038.71","œ137,705.74"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",405,Drugs used in the Treatment of Obesity,"1,838","œ56,904.05","œ61,690.23"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2121,Dry Mouth Products,91,œ526.49,œ569.84
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",101,Dyspep&Gastro-Oesophageal Reflux Disease,"10,726","œ75,429.33","œ81,432.04"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2107,Elastic Hosiery,643,"œ9,332.18","œ10,112.20"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1302,Emollient & Barrier Preparations,"26,089","œ143,962.80","œ155,732.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2122,Emollients,"1,774","œ10,842.81","œ11,736.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2130,Eye Products,794,"œ6,443.29","œ6,977.27"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2215,Faecal Collectors,1,œ80.13,œ86.94
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2350,Filters/Bridges,3,œ51.26,œ55.59
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2355,Flanges,1,œ231.34,œ250.90
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",902,Fluids And Electrolytes,"2,708","œ18,031.36","œ19,375.18"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",909,Foods,545,"œ24,988.05","œ27,095.48"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2004,Gauzes & Gauze Tissue,147,"œ4,881.56","œ5,293.16"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1501,General Anaesthesia,286,"œ3,029.07","œ3,274.12"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",911,Health Supplements,171,"œ4,064.16","œ4,220.29"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",205,Hypertension and Heart Failure,"105,090","œ377,678.72","œ407,813.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",401,Hypnotics And Anxiolytics,"33,272","œ151,106.12","œ161,840.41"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",605,Hypothalamic&Pituitary Hormones&Antioest,708,"œ64,405.87","œ69,827.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2360,Ileostomy Bags,920,"œ104,851.95","œ113,672.68"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2240,Incontinence Sheath Fixing Strips & Adh,14,œ211.58,œ229.47
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2230,Incontinence Sheaths,267,"œ16,365.01","œ16,866.25"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2132,Inhalation Solutions,89,"œ2,307.85","œ2,499.94"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2285,Insert For Female Stress Incont,1,œ39.87,œ43.23
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2116,Irrigation Solutions,"2,294","œ10,343.36","œ11,093.81"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2370,Irrigation Washout Appliances,27,"œ1,988.78","œ2,157.00"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",106,Laxatives,"23,649","œ123,805.92","œ133,049.77"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2250,Leg Bags,745,"œ26,434.15","œ28,015.71"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2007,Lints,3,œ175.72,œ190.63
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",212,Lipid-Regulating Drugs,"111,734","œ477,549.93","œ516,082.85"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1502,Local Anaesthesia,"1,335","œ14,895.41","œ16,128.66"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1107,Local Anaesthetics,1,œ19.02,œ20.62
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",107,Local Prepn for Anal & Rectal Disorders,"2,609","œ16,880.93","œ18,254.71"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2138,Low Friction Products,6,œ301.35,œ326.82
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2114,Lubricant Gels,234,œ686.81,œ743.44
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2127,Lymphoedema Garments,505,"œ27,227.60","œ29,528.27"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",905,Minerals,"1,227","œ36,910.90","œ39,917.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1108,Miscellaneous Ophthalmic Preparations,"11,678","œ40,542.63","œ43,805.44"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",307,Mucolytics,"2,679","œ60,476.50","œ65,411.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1105,Mydriatics And Cycloplegics,170,"œ1,804.89","œ1,955.13"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2124,Nasal Products,"1,373","œ3,090.15","œ3,333.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2260,Night Drainage Bags,"1,247","œ18,801.49","œ18,716.82"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",206,"Nit,Calc Block & Other Antianginal Drugs","74,173","œ389,255.61","œ420,584.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2119,Oral Film Forming Agents,11,œ308.77,œ334.80
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",904,Oral Nutrition,"17,951","œ512,703.53","œ552,761.65"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2101,Other Appliances,"12,600","œ94,783.22","œ102,617.22"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",607,Other Endocrine Drugs,92,"œ4,040.83","œ4,379.17"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",912,Other Health Supplements,268,"œ9,227.85","œ9,902.92"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1905,Other Preparations,27,œ129.26,œ139.73
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2112,Peak Flow Meters,259,"œ1,531.38","œ1,657.54"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2137,Pelvic Toning Devices,1,œ13.84,œ15.00
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2141,Physical Debridement Device,26,"œ1,626.84","œ1,764.15"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2129,Plantar Pressure Offloading Device,19,œ508.72,œ551.68
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",201,Positive Inotropic Drugs,"4,521","œ5,905.64","œ6,314.19"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1305,Preparations For Eczema And Psoriasis,"2,816","œ108,947.26","œ118,123.09"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1307,Preparations For Warts And Calluses,635,"œ4,156.99","œ4,499.24"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2375,Pressure Plates/Shields,6,œ43.35,œ47.02
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1902,Selective Preparations,"1,676","œ40,103.48","œ43,185.16"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",604,Sex Hormones,"7,487","œ102,475.43","œ110,922.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",803,Sex Hormones & Antag In Malig Disease,"3,655","œ177,465.32","œ192,378.95"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1309,Shampoo&Other Preps For Scalp&Hair Cond,"2,644","œ14,178.63","œ15,343.42"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2020,Silk Garments,6,œ517.06,œ560.64
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1904,Single Substances,11,œ79.17,œ85.63
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1311,"Skin Cleansers,Antiseptics & Desloughing",358,"œ3,652.71","œ3,878.47"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2014,"Skin Closure Strips, Sterile",2,œ9.83,œ10.65
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2380,Skin Fillers And Protectives,"1,402","œ19,021.53","œ19,994.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2385,Skin Protectors,202,"œ13,051.28","œ14,155.06"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1003,Soft-Tissue Disorders & Topical Pain Rel,"12,435","œ70,544.46","œ76,305.83"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2009,Stockinette,"1,725","œ21,754.05","œ23,575.34"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2390,Stoma Caps/Dressings,69,"œ3,301.80","œ3,581.17"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1308,Sunscreens And Camouflagers,517,"œ14,616.52","œ15,726.84"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2010,Surgical Adhesive Tape,910,"œ2,017.73","œ2,179.34"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2011,Surgical Sutures,26,œ40.12,œ43.52
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2270,Suspensory Systems,12,œ852.00,œ924.00
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2012,Swabs,"1,241","œ3,722.57","œ4,030.87"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",207,Sympathomimetics,81,"œ11,112.96","œ12,049.37"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",310,Systemic Nasal Decongestants,607,"œ1,101.25","œ1,147.79"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",602,Thyroid And Antithyroid Drugs,"42,013","œ143,245.07","œ154,517.89"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1303,Top Local Anaesthetics & Antipruritics,450,"œ1,542.68","œ1,663.61"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1314,Topical Circulatory Preparations,244,"œ1,180.18","œ1,276.80"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1304,Topical Corticosteroids,"19,084","œ80,168.10","œ86,697.98"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2005,Tracheostomy & Laryngectomy Appliances,134,"œ7,487.88","œ8,120.18"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1106,Treatment Of Glaucoma,"9,244","œ88,041.17","œ95,363.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",702,Treatment Of Vaginal & Vulval Conditions,"2,351","œ17,315.06","œ18,727.88"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2106,Trusses,12,œ324.49,œ351.78
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2392,Tubing & Accessories,12,œ461.35,œ500.22
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2280,Tubing And Accessories,218,"œ2,510.41","œ2,665.72"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2394,Two Piece Ostomy Systems,405,"œ32,627.22","œ35,388.74"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2290,Urinal Systems,36,"œ1,862.58","œ2,020.43"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2396,Urostomy Bags,232,"œ30,020.62","œ32,452.26"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1404,Vaccines And Antisera,"59,290","œ380,317.03","œ412,468.91"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2118,Vacuum Pumps for Erectile Dysfunction,20,"œ1,750.73","œ1,898.78"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2123,Vaginal Moisturisers,228,"œ1,829.47","œ1,981.33"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2134,Vaginal PH Correction Products,6,œ48.48,œ52.50
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1301,Vehicles and Emulsifying Agents,13,œ74.87,œ81.02
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2120,Venous Ulcer Compression System,46,"œ1,371.03","œ1,486.51"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",906,Vitamins,"28,648","œ144,270.54","œ154,914.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1914,Waters,3,œ6.27,œ6.55
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2003,Wound Management & other Dressings,"10,488","œ269,186.00","œ291,860.81"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1313,Wound Management Products,5,œ144.14,œ156.28
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2001,Absorbent Cottons,15,œ82.81,œ89.61
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1906,Acids,23,œ73.42,œ78.24
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2135,Acne Treatment,1,œ23.99,œ26.00
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,1306,Acne and Rosacea,"1,756","œ19,742.01","œ21,388.47"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,104,Acute Diarrhoea,"1,224","œ3,649.76","œ3,893.63"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2305,Adhesive Discs/Rings/Pads/Plasters,61,"œ2,540.29","œ2,715.03"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2136,Adhesive Dressing Remover Ster Silicone,4,œ64.84,œ70.30
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2315,Adhesive Removers (Sprays/Liquids/Wipes),287,"œ7,353.36","œ7,975.27"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,901,Anaemias + Other Blood Disorders,"21,589","œ49,479.27","œ51,577.03"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2128,Anal Irrigation System,25,"œ2,949.03","œ3,198.72"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,2202,Anal Plugs,12,"œ1,243.78","œ1,348.85"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,407,Analgesics,"47,959","œ268,495.55","œ288,788.48"
3rd Quarter 2012/2013,5C200,PCT BARKING & DAGENHAM,505,Anthelmintics,193,œ487.15,œ523.17
